name,percent_sold,url,date,raised,goal,ico_price,curr_price,usd_roi,eth_roi,btc_roi
CPChain,40,https://icodrops.com/cpchain,24 January,30000000,30000000,0.10,0.194815,1.92,3.15,3.43
Odyssey,40,https://icodrops.com/odyssey,23 January,50000000,47600000,0.0119,0.014931,1.26,1.93,2.10
Elastos,6,https://icodrops.com/elastos,23 January,94073200,94100000,18.09,39.2189,2.17,3.85,5.04
Pundi X,66.67,https://icodrops.com/pundi-x,21 January,35000000,35000000,2.13,1.0838,0.51,0.88,0.97
FORTUNA,40,https://icodrops.com/fortuna,21 January,2000000,2000000,0.0800,0.0669854,0.84,1.46,1.61
DATA,40,https://icodrops.com/data,21 January,37988300,38000000,0.0109,0.0140504,1.29,2.27,2.47
Devery,60,https://icodrops.com/devery,19 January,10000000,10000000,0.17,0.0944462,0.57,0.94,1.06
Mobius,30,https://icodrops.com/mobius,19 January,39000000,39000000,0.16,0.137305,0.86,1.47,1.61
Zeepin,50,https://icodrops.com/zeepin,18 January,62580000,62600000,0.13,0.0648803,0.52,0.83,0.94
OriginTrail,50,https://icodrops.com/origintrail,17 January,14557536,14600000,0.1000,0.140849,1.41,1.85,2.19
MatrixChain,21.73,https://icodrops.com/matrixchain,17 January,12592104,12600000,0.36,0.432018,1.20,1.85,2.04
InsurePal,67,https://icodrops.com/insurepal,16 January,18000000,18000000,0.1000,0.134682,1.35,2.45,2.63
AidCoin,-,https://icodrops.com/aidcoin,16 January,18632900,18600000,0.65,0.235135,0.36,0.76,0.80
carVertical,43,https://icodrops.com/carvertical,16 January,19911150,19900000,0.0055,0.00464486,0.84,1.80,1.92
Trinity,33.33,https://icodrops.com/trinity,14 January,20000000,20000000,0.0600,0.142516,2.38,5.04,5.14
GatCoin,50,https://icodrops.com/gatcoin,14 January,14500000,14500000,0.0318,0.0222964,0.70,1.58,1.62
Selfkey,33,https://icodrops.com/selfkey,14 January,21776392,21800000,0.0150,0.0129323,0.86,1.79,1.99
adbank,51,https://icodrops.com/adbank,14 January,13962900,14000000,0.0465,0.0173035,0.37,0.84,0.87
Olympus Labs,40,https://icodrops.com/olympus-labs,14 January,60324750,60300000,2.18,0.534792,0.25,0.53,0.54
aXpire,75,https://icodrops.com/axpire,12 January,20000000,20000000,0.1000,0.043178,0.43,0.85,0.95
SwissBorg,53.5,https://icodrops.com/swissborg,10 January,50000000,50000000,0.1000,0.0566704,0.57,1.23,1.34
Crypterium,70,https://icodrops.com/crypterium,6 January,51656963,47000000,1.98,0.635073,0.32,0.52,0.90
Theta token,40,https://icodrops.com/theta-token,4 January,20000000,20000000,0.12,0.103877,0.87,1.34,2.12
ZILLIQA,30,https://icodrops.com/zilliqa,4 January,22000000,22000000,0.0038,0.0427644,11.23,8.16,27.50
trade.io,55,https://icodrops.com/trade-io,4 January,31169749,135000000,1.08,0.267245,0.25,0.39,0.58
Lamden,70,https://icodrops.com/lamden,3 January,10000000,10000000,0.0910,0.135662,1.49,2.13,3.67
Bloom,50,https://icodrops.com/bloom,1 January,41420705,80500000,1.16,0.582992,0.50,0.62,1.09
Covesting,82,https://icodrops.com/covesting,31 December,18750000,18800000,1.44,0.796732,0.55,0.67,1.14
Telcoin,20,https://icodrops.com/telco,31 December,25000000,25000000,0.0013,0.00239993,1.86,2.13,3.89
BitDegree,51,https://icodrops.com/bitdegree,28 December,22127834,21600000,0.0719,0.0966023,1.34,1.56,3.06
BANKEX,20,https://icodrops.com/bankex,28 December,70600000,103500000,1.48,0.70919,0.48,0.57,1.13
CanYa,60,https://icodrops.com/canya,27 December,8336405,23000000,0.79,0.440614,0.56,0.71,1.50
Sirin Labs,40,https://icodrops.com/sirin-labs,26 December,157885825,,0.47,1.06935,2.28,1.73,6.02
INS Ecosystem,60,https://icodrops.com/ins-ecosystem,25 December,45756000,45800000,2.54,1.67063,0.66,0.81,1.49
Uttoken,65,https://icodrops.com/uttoken,25 December,30854682,58500000,0.90,0.580603,0.65,0.75,1.45
SingularityNET,50,https://icodrops.com/singularitynet,22 December,32847814,32800000,0.1000,0.314438,3.14,3.40,6.88
Qlink,40,https://icodrops.com/qlink,22 December,19270800,19300000,0.10,0.124129,1.21,1.31,2.65
AppCoins,40,https://icodrops.com/appcoins,20 December,15300000,15300000,0.27,0.427829,1.57,2.07,4.24
indaHash,80,https://icodrops.com/indahash,20 December,42715825,67000000,0.21,0.109446,0.52,0.68,1.39
Bread,72.5,https://icodrops.com/bread,19 December,20021300,20000000,0.78,0.593086,0.76,0.86,2.17
SophiaTX,30,https://icodrops.com/sophiatx,17 December,23470356,82300000,0.0716,0.401917,5.61,6.49,17.85
NeuFund,100,https://icodrops.com/neufund,17 December,14790678,,0.36,0.60164,1.66,1.92,5.28
Bounty0x,21,https://icodrops.com/bounty0x,16 December,1602927,1500000,0.0165,0.0879571,5.33,5.98,15.82
Nebulas,30,https://icodrops.com/nebulas,16 December,60000000,60000000,2.00,5.16163,2.58,3.05,7.62
Coinlancer,93,https://icodrops.com/coinlancer,16 December,11860153,50000000,0.25,0.0737076,0.29,0.33,0.84
Naga,55,https://icodrops.com/naga,16 December,45318896,30000000,1.00,0.73948,0.74,0.82,2.10
MediBloc,50,https://icodrops.com/medibloc,15 December,21271251,30000000,0.0088,0.0264455,3.02,3.37,8.03
DeepBrain Chain,15,https://icodrops.com/deepbrain-chain,15 December,11755200,11800000,0.0158,0.0567507,3.59,4.02,10.26
Aigang,51,https://icodrops.com/aigang,15 December,4228920,31100000,0.35,0.394302,1.14,1.27,3.02
GIFTO,30,https://icodrops.com/gifto,14 December,10000000,10000000,0.10,0.17322,1.73,1.96,4.65
GUTS Tickets,41,https://icodrops.com/guts-tickets,13 December,7520874,17500000,0.97,0.754334,0.78,0.86,2.14
Spectre,50,https://icodrops.com/spectre,10 December,16587120,30000000,0.22,0.349021,1.59,1.13,3.43
aelf,25,https://icodrops.com/aelf,10 December,24750000,24800000,0.0990,0.923318,9.33,6.78,20.65
Storm,65,https://icodrops.com/storm,8 December,30716420,27600000,0.0113,0.0281309,2.49,1.72,6.81
Leverj,40,https://icodrops.com/leverj,7 December,13049080,51000000,0.15,0.073837,0.50,0.36,1.17
Verify,22.25,https://icodrops.com/verify,6 December,2500000,2500000,0.23,0.511572,2.27,1.70,4.35
fidentiaX,77,https://icodrops.com/fidentiax,5 December,1566283,2900000,0.0289,0.174437,6.04,4.57,11.58
SmartMesh,40,https://icodrops.com/smartmesh,4 December,15691200,16800000,0.0167,0.0507289,3.03,2.29,5.53
DMarket,85,https://icodrops.com/dmarket,1 December,19026768,53300000,0.63,0.469037,0.75,0.57,1.32
Simple Token,30,https://icodrops.com/simple-token,1 December,21728192,20000000,0.0889,0.177165,1.99,1.49,3.47
Vezt,45,https://icodrops.com/vezt,1 December,1378806,15000000,0.50,0.198155,0.40,0.28,0.62
CRYPTO20,87,https://icodrops.com/crypto20,1 December,37698373,75000000,1.00,1.56785,1.57,1.09,2.45
Playkey,60,https://icodrops.com/playkey,1 December,10340040,,1.73,0.903781,0.52,0.37,0.82
LockChain,50,https://icodrops.com/lockchain,30 November,4055130,13200000,0.55,1.02812,1.86,1.25,2.81
Genaro Network,31,https://icodrops.com/genaro-network,30 November,11362000,29600000,0.15,0.282905,1.94,1.37,3.09
ETHLend,75,https://icodrops.com/ethlend,30 November,17860000,17900000,0.0173,0.0557597,3.23,2.48,4.27
WaBi,46,https://icodrops.com/wabi,30 November,11500000,11500000,0.24,1.06246,4.50,3.27,7.43
Presearch,20,https://icodrops.com/presearch,30 November,20500000,,0.20,0.229421,1.15,0.77,1.75
Snovio,60,https://icodrops.com/snovio,30 November,2129106,10000000,0.0100,0.031271,3.13,2.09,4.74
WAX,7.4,https://icodrops.com/wax,29 November,9600000,9600000,0.16,0.224605,1.40,1.09,2.48
Datum,51,https://icodrops.com/datum,29 November,7581120,29400000,0.0192,0.0413275,2.15,1.67,3.80
BitClave,27.5,https://icodrops.com/bitclave,29 November,25547000,25500000,0.1000,0.0416581,0.42,0.32,0.74
Mercury Protocol,60,https://icodrops.com/mercury-protocol,25 November,4749479,20000000,0.0430,0.0323803,0.75,0.37,0.86
MyWish,85,https://icodrops.com/mywish,25 November,2670000,2700000,0.21,0.268147,1.28,0.87,1.68
Starbase,-,https://icodrops.com/starbase,24 November,8842000,10000000,0.10,0.0668402,0.65,0.49,0.86
Flixxo,20,https://icodrops.com/flixxo,24 November,4731021,12000000,0.0934,0.0947954,1.01,0.67,1.32
Divi Project,80,https://icodrops.com/divi-project,24 November,2592064,2000000,0.62,1.69906,2.75,1.78,3.55
Aion,-,https://icodrops.com/aion,24 November,-,,1.00,1.88823,1.89,0.92,1.44
ARToken,53,https://icodrops.com/artoken,23 November,2813147,30000000,0.0080,0.0882986,11.04,6.60,14.53
CyberMiles,70,https://icodrops.com/cybermiles,22 November,30881582,30900000,0.0524,0.13561,2.59,1.53,3.44
Bodhi,40,https://icodrops.com/bodhi,22 November,-,,0.37,0.396343,1.08,0.66,1.40
Time New Bank,27,https://icodrops.com/time-new-bank,21 November,14360000,14400000,0.0171,0.0478824,2.81,1.63,3.58
UTRUST,70,https://icodrops.com/utrust,20 November,21000000,21000000,0.0650,0.212562,3.27,1.87,4.22
Zap Store,33,https://icodrops.com/zap-store,20 November,2827944,32200000,0.19,0.191873,1.03,0.62,1.37
Quantstamp,65,https://icodrops.com/quantstamp,19 November,31320000,31300000,0.0720,0.163406,2.27,1.32,2.78
MicroMoney,84,https://icodrops.com/micromoney,18 November,10541585,30000000,1.00,0.367451,0.37,0.20,0.45
B2BX,80,https://icodrops.com/b2bx,17 November,8078602,29500000,0.74,0.499249,0.67,0.36,0.83
Privatix,80,https://icodrops.com/privatix,16 November,2391939,15000000,3.33,2.45129,0.74,0.40,0.90
Matryx,60,https://icodrops.com/matryx,15 November,1984347,9000000,0.29,0.31289,1.09,0.59,1.25
Soma,90,https://icodrops.com/soma,15 November,6049621,39800000,0.74,0.209246,0.28,0.15,0.33
Genesis Vision,52,https://icodrops.com/genesis-vision,15 November,2836732,23000000,1.00,9.01453,9.01,4.84,10.59
Publica,51,https://icodrops.com/publica,15 November,1046210,1000000,0.1000,0.380245,3.80,2.05,4.06
Grid+,30,https://icodrops.com/grid,12 November,32226790,89000000,1.15,0.786372,0.69,0.34,0.73
QASH,50,https://icodrops.com/qash,8 November,106400000,106400000,0.24,0.605099,2.49,1.22,2.95
COMSA,50,https://icodrops.com/comsa,6 November,95372124,,1.00,1.09831,1.10,0.53,0.78
Ripio Credit Network,51,https://icodrops.com/ripio-credit-network,5 November,37863045,37900000,0.0743,0.11891,1.60,0.77,1.93
Ignis,-,https://icodrops.com/ignis,4 November,21600000,21600000,0.0391,0.149221,3.82,1.85,4.53
Dragonchain,55,https://icodrops.com/dragonchain,3 November,13192840,,0.0663,0.973126,14.67,6.90,16.55
Raiden Network,50,https://icodrops.com/raiden,1 November,33407260,33400000,0.67,2.05942,3.08,1.52,3.18
Dentacoin,3,https://icodrops.com/dentacoin,1 November,1923507,28800000,0.0001,0.000819334,6.83,3.31,6.93
CarTaxi,65,https://icodrops.com/cartaxi,1 November,8710939,65000000,0.14,0.0158253,0.12,0.06,0.12
Enjin Coin,40,https://icodrops.com/enjin-coin,1 November,22959609,25000000,0.0512,0.0951932,1.86,0.92,1.87
TokenStars,60,https://icodrops.com/tokenstars,31 October,4901220,7500000,0.42,0.299432,0.71,0.35,0.48
Aeron,60,https://icodrops.com/aeron,31 October,4897723,30000000,0.50,1.1128,2.23,1.11,2.24
CryptoPay,52,https://icodrops.com/cryptopay,30 October,18148220,64300000,0.31,0.0674596,0.22,0.11,0.22
Horizon State,60,https://icodrops.com/horizon-state,30 October,893520,61200000,0.0874,0.880535,10.07,4.98,9.74
Etherparty,40,https://icodrops.com/etherparty,29 October,33732274,65000000,0.10,0.0874481,0.85,0.42,0.81
BLOCKv,17.5,https://icodrops.com/blockv,25 October,21599100,40000000,0.0207,0.0496273,2.39,1.16,2.16
Astronaut,88,https://icodrops.com/astronaut,25 October,2352240,,0.89,2.43561,2.73,1.31,2.50
UnikoinGold,-,https://icodrops.com/unikoingold,23 October,29436000,86400000,0.30,0.274178,0.90,0.38,0.52
COBINHOOD,50,https://icodrops.com/cobinhood,23 October,13078406,25000000,0.0516,0.163249,3.16,1.48,2.98
Electroneum,29,https://icodrops.com/electroneum,23 October,39934610,40000000,0.0100,0.0419126,4.19,1.90,3.84
Ambrosus,40,https://icodrops.com/ambrosus,22 October,32507330,97800000,0.30,0.34887,1.17,0.56,1.12
Gimli,53,https://icodrops.com/gimli,20 October,1717455,6000000,0.0871,0.0246429,0.28,0.14,0.25
Qvolta,-,https://icodrops.com/qvolta,20 October,729652,4700000,0.31,0.494785,1.61,0.80,1.46
DOVU,25,https://icodrops.com/dovu,17 October,6644682,28400000,0.11,0.182348,1.71,0.92,1.56
HEROcoin,30,https://icodrops.com/herocoin,16 October,2021034,16000000,0.0267,0.044139,1.65,0.89,1.49
eidoo,20,https://icodrops.com/eidoo,16 October,27676992,51700000,2.58,1.52155,0.59,0.32,0.53
Change Bank,40,https://icodrops.com/change-bank,16 October,15963255,40000000,0.44,0.203518,0.46,0.24,0.42
Request Network,70,https://icodrops.com/request-network,16 October,33600000,33600000,0.0672,0.173754,2.59,1.40,2.35
Paragon,50,https://icodrops.com/paragon,16 October,6000000,100000000,1.00,0.199017,0.20,0.11,0.17
Credit Protocol,29,https://icodrops.com/credit-protocol-token,16 October,15300000,15300000,0.34,0.336617,0.99,0.54,0.89
bitJob,56,https://icodrops.com/bitjob,13 October,2726424,12000000,0.39,0.0436629,0.11,0.06,0.10
Streamr,49,https://icodrops.com/streamr,13 October,27000000,27000000,0.0615,0.0850963,1.38,0.74,1.23
Ties.Network,70,https://icodrops.com/ties-network,12 October,6399760,33600000,0.24,0.131334,0.55,0.27,0.42
Anryze,78,https://icodrops.com/anryze,12 October,1759099,6000000,0.0200,0.0100325,0.50,0.24,0.38
AirSwap,30,https://icodrops.com/airswap,11 October,12600000,12600000,0.30,0.419974,1.40,0.68,1.06
LAToken,50,https://icodrops.com/latoken,10 October,18880673,40000000,0.42,0.276033,0.66,0.32,0.50
Maecenas,30,https://icodrops.com/maecenas,10 October,15375432,18900000,0.66,0.502263,0.76,0.37,0.59
DomRaider,35,https://icodrops.com/domraider,9 October,67200000,67200000,0.12,0.0328912,0.27,0.14,0.20
Red Pulse,40,https://icodrops.com/red-pulse,8 October,14508923,14500000,0.0358,0.0874523,2.45,1.23,1.75
PayPie,75,https://icodrops.com/paypie,8 October,26000000,26000000,0.34,1.03356,3.02,1.52,2.13
AirToken,70,https://icodrops.com/airtoken,6 October,15000000,15000000,0.0200,0.0109605,0.55,0.26,0.38
PowerLedger,35,https://icodrops.com/powerledger,6 October,13240000,,0.0838,0.405567,4.84,2.31,3.33
Real,51,https://icodrops.com/real,30 September,10604571,33000000,1.32,0.349973,0.26,0.12,0.17
ALIS,50,https://icodrops.com/alis,29 September,3705000,35600000,0.0983,0.290702,2.96,1.36,1.92
Internxt,92.5,https://icodrops.com/internxt,28 September,220800,41000000,1.02,7.03718,6.90,3.41,4.60
Centra,-,https://icodrops.com/centra,26 September,26100000,26100000,0.73,0.533808,0.73,0.34,0.45
Kin,62,https://icodrops.com/kin,25 September,48594816,75000000,0.0001,0.00021284,1.72,0.80,0.90
Cindicator,75,https://icodrops.com/cindicator,24 September,15000000,15000000,0.0100,0.11588,11.59,5.30,6.97
Modum,60,https://icodrops.com/modum,22 September,13350000,16400000,1.00,2.13215,2.13,0.91,1.24
ICON,50,https://icodrops.com/icon,20 September,42750000,42800000,0.11,2.68526,23.55,10.85,14.78
ChainLink,35,https://icodrops.com/chainlink,19 September,32000000,32000000,0.11,0.29518,2.62,1.24,1.70
Substratum,-,https://icodrops.com/substratum,17 September,13800000,45000000,0.0817,0.400958,4.91,1.94,2.81
KICKICO,74,https://icodrops.com/kickico,16 September,21581925,12800000,0.0850,0.0328497,0.39,0.16,0.22
KyberNetwork,61,https://icodrops.com/kybernetwork,16 September,46000000,46000000,0.38,2.17035,5.68,2.11,3.07
Social,-,https://icodrops.com/social,15 September,5243080,15000000,0.46,0.327272,0.71,0.26,0.38
BitDice,68,https://icodrops.com/bitdice,15 September,8748793,,0.0875,0.182707,2.09,0.78,1.13
Enigma,50,https://icodrops.com/enigma,11 September,45000000,45000000,0.60,1.56086,2.61,1.24,1.74
Rivetz,35,https://icodrops.com/rivetz,10 September,18653920,20000000,0.88,0.440475,0.50,0.24,0.34
Filecoin,-,https://icodrops.com/filecoin,8 September,257000000,40000000,5.00,15.7382,3.15,1.50,2.14
Indorse,-,https://icodrops.com/indorse,7 September,9247392,15000000,0.33,0.0809986,0.24,0.13,0.18
Hubii Network,70,https://icodrops.com/hubii-network,7 September,7130256,50000000,0.33,0.592097,1.78,0.96,1.30
Aventus,60,https://icodrops.com/aventus,6 September,18780000,18800000,3.40,1.89831,0.56,0.28,0.39
Viberate,60,https://icodrops.com/viberate,5 September,12000000,12000000,0.1000,0.166335,1.66,0.81,1.14
Tron,40,https://icodrops.com/tron,2 September,70000000,70000000,0.0019,0.0265585,14.26,8.92,11.11
Monetha,50,https://icodrops.com/monetha,31 August,35910000,35900000,0.16,0.0979742,0.62,0.38,0.45
Everex,-,https://icodrops.com/everex,31 August,25840000,26000000,2.10,1.3703,0.65,0.40,0.47
ChronoLogic,-,https://icodrops.com/chrono-logic,30 August,7502120,13000000,15.38,3.71206,0.24,0.14,0.18
DIMCOIN,-,https://icodrops.com/dimcoin,27 August,14005746,13500000,0.0100,0.00564955,0.56,0.30,0.40
OPUS,75,https://icodrops.com/opus,25 August,5737250,20000000,0.0362,0.0250352,0.69,0.36,0.48
Decentraland,40,https://icodrops.com/decentraland,19 August,24137000,20000000,0.0240,0.0668145,2.78,1.33,1.83
Lampix,-,https://icodrops.com/lampix,19 August,12112616,,0.11,0.0522652,0.49,0.24,0.32
Agrello,66,https://icodrops.com/agrello,18 August,30100000,43200000,0.43,0.218581,0.51,0.25,0.35
BlockCAT,-,https://icodrops.com/blockcat,16 August,6284400,5000000,0.88,0.910671,1.04,0.49,0.69
0x,50,https://icodrops.com/0x,16 August,24000000,24000000,0.0480,0.699345,14.57,6.80,9.72
SALT,45,https://icodrops.com/salt,15 August,48500000,48500000,0.89,3.10741,3.49,1.60,2.28
Po.et,50,https://icodrops.com/po-et,9 August,10000000,10000000,0.0064,0.0371263,5.84,2.54,3.13
Tierion,35,https://icodrops.com/tierion,9 August,25000000,25000000,0.0710,0.0925116,1.30,0.63,0.71
Tezos,-,https://icodrops.com/tezos,14 July,230533089,,0.47,2.23721,4.76,1.62,1.78
Polybius,93,https://icodrops.com/polybius,30 June,62956169,100000000,10.00,3.3777,0.34,0.17,0.14
EOS,90,https://icodrops.com/eos,26 June,196874404,,0.99,6.25878,6.34,3.09,2.61
TenX,-,https://icodrops.com/tenx,24 June,80000000,,0.64,1.19143,1.86,0.67,0.77
OmiseGo,-,https://icodrops.com/omisego,23 June,25000000,25000000,0.35,8.11656,23.46,13.11,10.30
Civic,33,https://icodrops.com/civic,21 June,33000000,,0.1000,0.2549,2.55,1.43,1.11
Status Network,-,https://icodrops.com/status-network,20 June,107664907,90000000,0.0370,0.167073,4.52,2.70,1.86
SONM,-,https://icodrops.com/sonm,18 June,42000000,,0.16,0.150457,0.96,0.59,0.39
Monaco,30,https://icodrops.com/monaco,18 June,54317213,,3.80,5.23442,1.38,0.85,0.57
Bancor,-,https://icodrops.com/bancor,12 June,153000000,,3.92,3.7011,0.94,0.60,0.45
Cofound.it,25,https://icodrops.com/cofound-it,7 June,14820030,12500000,0.12,0.0718087,0.61,0.26,0.27
MobileGo,70,https://icodrops.com/mobilego,25 May,106138404,,0.76,0.397069,0.52,0.16,0.20
Storj,25,https://icodrops.com/storj,25 May,30000000,30000000,0.50,0.641763,1.28,0.39,0.51
ChronoBank,-,https://icodrops.com/chronobank,14 February,5412000,,10.00,15.4434,1.54,0.03,0.25
